date,id,topics,verified,content,updated
2018-11-18T03:10Z,1,,false,"dear Blueno, i love you",
2018-11-18T03:10Z,2,,false,"But seriously, shout out to the BBA admins for the initiative!",
2018-11-18T03:11Z,3,,false,Whenever I feel 😔. I go to www.crocs.com and look at all the beautiful crocs that are on sale 😊.,2018-11-18T03:11Z
2018-11-18T03:11Z,4,,false,"Ok so the bathroom in the ratty is so goddamn dark and I can’t see what’s coming out of me when I’m in the end stalls. It’s very disorienting to not know the size, shape, color, etc.",
2018-11-18T03:11Z,5,,false,"I’m so done with trying to have sex at this school. I've been on tinder for a while since I've gotten here and it's been pretty lame. I started talking to this one dude and we've been on a couple dates and he's really cute. Last night I invited him to my appartment. We made out and then I started to make dinner for us. I felt like I was eating too much, and I said, ""Sorry, my period makes me feel like I'm starving."" He was just like, ""no worries"" and we started talking about the weather. I said ""it's so gross. It makes me feel gross"" and he was like ""I feel a little gross too. Let's take a shower."" So we're in the shower making out, and I tell him ""You know my shower is too small to be fucking in, but I can still get on my knees."" And he's just like ""nah, no thank you."" And I was really confused but I just said okay. We dried off and layed in bed and kissed and I asked him if there was anything else he wanted to do, and he's like ""no, just kissing you and holding you is amazing."" He was really sweet, but I kinda felt like a hoe. That was the rest of our night until he had to get on the bus. I talked to him later via snapchat after he left. I asked him if he enjoyed our time together and asked if I was too forward. He asked me ""have you heard of no nut November"" and so I'm fucking dead, you guys.",
2018-11-18T03:11Z,6,,false,The mailroom not properly notifying people when they receive letter mail is a big yikes in regards to people not realizing their absentee ballots arrived— likely weeks ago.,
2018-11-18T03:11Z,7,,false,"I'm really sad and alone right now. Not all the time, just right now, and I have no one to tell because I don't want to burden them. Everything is so difficult. Everything is so difficult.",
2018-11-18T03:11Z,8,,false,"Dear Blueno, 
I really wish all the students (undergraduates and graduates) would take into consideration of the fact that not everyone was born with a silver spoon. Some people come from not-so-privileged background, and didn't grow up with/can't afford a lavish life. I wish everyone would allow us low-income students a space to breathe without being reminded every second that we are far too different. 
I also wish my friends would understand that the reason I keep canceling plans, or avoid social events to go out for food and drinks is because I simply can't afford to. 
Also, S/O to Shiru cafe for saving my broke ass! U DA BOMB DOT COM!",
2018-11-18T03:15Z,9,,false,"Here's to all the guys who can't cry, no matter how much they'd like to or how cathartic it'd be. It's hard having your emotions repressed for so long that your body physically cannot respond to your feelings anymore, like yikes",
2018-11-18T03:15Z,10,,false,why r some ppl rude bitches with no balls,
2018-11-18T03:18Z,11,,false,"Motion to start playing cartoons on saturday mornings in the ratty. Anything but CNN, Blease.",
2018-11-18T03:18Z,12,,false,I wish I could function without my meds,
2018-11-18T03:18Z,13,,false,"It's times like these where I have an excruciating headache from staring at code for 5+ hours and I've been waiting for TA hours for ~6 hours even though it's not assured that I'll be seen, that makes me so happy that I'm dropping this stuff and returning back to the world of humanities forever.",
2018-11-18T03:18Z,14,,false,Where can a girl get viagra,
2018-11-18T03:19Z,15,,false,"Tldr: do not be inconsiderate when you get drunk. CW: panic attacks and vomit. Just a reminder: please be courteous when you go out and get drunk. Drunk people tried to enter my room when I was sleeping, and I had a panic attack at three loud men banging at my door. Also, my low-income friend was thrown up on by a person a couple of weeks ago while they were in their fancy clothes. They had to pay to get their stuff dry-cleaned, and that is really not fair for some inconsiderate person to impose that financial burden on them.",
2018-11-18T03:26Z,16,,false,"I have a lot of respect for the Brown Band, but the thing they do when they play at 9 in the morning is annoying and ridiculous. It ruins everyone's morning and is anxiety-inducing",
2018-11-18T03:26Z,17,,false,if you vape in the rock i hope you have a horrible day ♥,
2018-11-18T03:26Z,18,,false,People who take up tables with computers but dont use the computers...why????,
2018-11-18T03:26Z,19,,false,"Idk who to vent this to anymore. A lot of the courses in take about 20 hours a week outside of class. It feels like everybody is assuming that students are only taking 2 - 3 courses a sem when in fact it's 4.

CS 17 has been a super awesome course but the last few weeks were just so overwhelming. Nobody, nobody, NOBODY seemed to take into account the very difficult transition from Dr Racket to Ocaml. The lecture was rushed, the lab was long and difficult, the Subset homework during that week was very conceptually challenging.

And then there's the project Eliza, whose design check is not simple at all - you sort of have to know EVERYTHING about Eliza conceptually, and all you have left is to write the code - to get good grades on the Design Check.

Lastly, the homework is uploaded on a Thursday, with a due date on TUESDAY. Even with the late day, that is just... Really really really tough. I was just hoping for things to calm down because my other courses do require attention and those courses have exams too. But nothing's calming down. There is still a homework that is due in five days when I still haven't felt familiarized with this super weird programming language. I lowkey just want to scream. I kind of wish the homework was uploaded earlier so I could at least some of it out of the way................................................ 

Just a little bit overwhelmed and salty. Just a little bit.",
2018-11-18T03:32Z,20,,false,"As a female now dating a male, I feel invalidated as a bisexual and am nervous to talk about my boyfriend because I feel like it erases my bisexuality.",
2018-11-18T03:32Z,21,,false,Where can I unlearn my anti-blackness?,
2018-11-18T03:34Z,22,,false,"Guy in a purple hoodie riding a skateboard on the sidewalk outside the Sci Li: you're an asshole. Ride on the street if you want to go that fast, I almost knocked somebody over trying to get out of the way because you didn't have the decency to slow down.",
2018-11-18T03:34Z,23,,false,I just want an internship offer pls pls pls I've working hard for so long and I want to see some reward,
2018-11-18T03:34Z,24,,false,Still don't understand why the water fountains in the Nelson are right next to the bathrooms. Why would anyone want the lingering smell of gym poo in their nostrils while the try to rehydrate?,
2018-11-18T03:37Z,25,,false,"Forcing myself to be mature and reasonable and shit's exhausting, especially with how much there is to do besides. The temptation to be immature and stupid when things go unexpectedly wrong is unfairly strong and I'm so tired of myself 🙃",
2018-11-18T03:38Z,26,,false,Why’m i paying 50k a year to get a cold shower with less pressure than the freakin rain in providence,
2018-11-18T03:38Z,27,,false,"-2 seconds after TA signup queue starts- ""You are 71st in queue""",
2018-11-18T03:58Z,28,,false,Any advice on finding new friends?,
2018-11-18T03:59Z,29,,false,"Dear Blueno, I feel like I don’t matter to anyone at all and I feel like no one cares about me and that it would just be better if I wasn’t here, but I don’t want to bother the people I care about with the stupid mental illness bullshit.",
2018-11-18T04:06Z,30,,false,"I’m terrified of accidentally getting pregnant in large part because I feel like I’d have to make a choice about whether I want to continue being a brown student. I’m on a very reliable almost perfect contraceptive, but accidents happen. For all of the safe sex education and free condoms and free pregnancy tests all over the place, there’s practically no information available on what happens if you actually get pregnant. I’m pro-choice, and not sure if I’d get an abortion (hence the fact that it is my CHOICE) , but feel like there’s zero info available on other options, particularly parenting as a brown student. Would the university support me? Why is there no info? How can we support choice without crucial info about the choices available?",
2018-11-18T15:04Z,31,,false,"Real sick of folks who don’t respect quiet study spaces. it’s not just annoying, it can make it impossible to study with my learning disability. quiet spaces are essential to doing my daily academic work. if you see a friend, please just pop outside",
2018-11-18T15:04Z,32,,false,How can fuck do they determine if someone is a good cs ta or not in just 10 minutes???? I feel like these interviews are not accurate AT ALL of how good of a ta that student can be.,
2018-11-18T15:04Z,33,,false,"I have had what can only be described as a horrific semester personally (close family deaths, physical illness, and mental health issues), but my academic performance has been insanely good and and being at school feels amazing right now. I just don’t know how to feel and sometimes I wish I could share it more. College is weird, but I can’t imagine being anywhere else and I’m so grateful to be around all you wonderful people.",
